Barcode,Tumor core true
cellid_000000391-1,
cellid_000000392-1,
cellid_000000393-1,
cellid_000000394-1,
cellid_000000395-1,
cellid_000000396-1,
cellid_000000397-1,
cellid_000000398-1,
cellid_000000399-1,
cellid_000000400-1,
cellid_000000401-1,
cellid_000000402-1,
cellid_000000403-1,
cellid_000000404-1,
cellid_000000405-1,
cellid_000000406-1,
cellid_000000407-1,
cellid_000000408-1,
cellid_000000409-1,
cellid_000000410-1,
cellid_000000411-1,
cellid_000000412-1,
cellid_000000413-1,
cellid_000000414-1,
cellid_000000415-1,
cellid_000000416-1,
cellid_000000417-1,
cellid_000000418-1,
cellid_000000419-1,
cellid_000000420-1,
cellid_000000421-1,
cellid_000000422-1,
cellid_000000423-1,
cellid_000000424-1,
cellid_000000425-1,
cellid_000000426-1,
cellid_000000427-1,
cellid_000000428-1,
cellid_000000429-1,
cellid_000000430-1,
cellid_000000431-1,
cellid_000000432-1,
cellid_000000433-1,
cellid_000000434-1,
cellid_000000435-1,
cellid_000000436-1,
cellid_000000437-1,
cellid_000000438-1,
cellid_000000439-1,
cellid_000000440-1,
cellid_000000441-1,
cellid_000000442-1,
cellid_000000443-1,
cellid_000000444-1,
cellid_000000445-1,
cellid_000000446-1,
cellid_000000447-1,
cellid_000000448-1,
cellid_000000449-1,
cellid_000000450-1,
cellid_000000451-1,
cellid_000000452-1,
cellid_000000453-1,
cellid_000000454-1,
cellid_000000455-1,
cellid_000000456-1,
cellid_000000457-1,
cellid_000000458-1,
cellid_000000459-1,
cellid_000000460-1,
cellid_000000461-1,
cellid_000000462-1,
cellid_000000463-1,
cellid_000000464-1,
cellid_000000465-1,
cellid_000000466-1,
cellid_000000467-1,
cellid_000000468-1,
cellid_000000469-1,
cellid_000000470-1,
cellid_000000471-1,
cellid_000000472-1,
cellid_000000473-1,
cellid_000000474-1,
cellid_000000475-1,
cellid_000000476-1,
cellid_000000477-1,
cellid_000000478-1,
cellid_000000479-1,
cellid_000000480-1,
cellid_000000481-1,
cellid_000000482-1,
cellid_000000483-1,
cellid_000000484-1,
cellid_000000485-1,
cellid_000000486-1,
cellid_000000487-1,
cellid_000000488-1,
cellid_000000489-1,
cellid_000000490-1,
cellid_000000491-1,
cellid_000000492-1,
cellid_000000493-1,
cellid_000000494-1,
cellid_000000495-1,
cellid_000000496-1,
cellid_000000497-1,
cellid_000000498-1,
cellid_000000499-1,
cellid_000000500-1,
cellid_000000501-1,
cellid_000000502-1,
cellid_000000503-1,
cellid_000000504-1,
cellid_000000505-1,
cellid_000000506-1,
cellid_000000507-1,
cellid_000000508-1,
cellid_000000509-1,
cellid_000000510-1,
cellid_000000511-1,
cellid_000000512-1,
cellid_000000513-1,
cellid_000000514-1,
cellid_000000515-1,
cellid_000000516-1,
cellid_000000517-1,
cellid_000000518-1,
cellid_000000519-1,
cellid_000000520-1,
cellid_000000521-1,
cellid_000000522-1,
cellid_000000523-1,
cellid_000000524-1,
cellid_000000525-1,
cellid_000000526-1,
cellid_000000527-1,
cellid_000000528-1,
cellid_000000529-1,
cellid_000000530-1,
cellid_000000531-1,
cellid_000000532-1,
cellid_000000533-1,
cellid_000000534-1,
cellid_000000535-1,
cellid_000000536-1,
cellid_000000537-1,
cellid_000000538-1,
cellid_000000539-1,
cellid_000000540-1,
